DocID,PageNum,NumChildren,ContainsTOCPhrase,ContainsContentsWord,ContainsListOf,PrevPageTOC,TOCPage,TagMethod
10189,1,22,0,0,0,0,0.0,auto
10189,2,9,0,1,0,0,1.0,auto
10189,3,2,0,0,0,1,0.0,manual
10189,4,20,0,0,0,0,0.0,auto
10189,5,21,0,0,0,0,0.0,auto
10189,6,20,0,0,0,0,0.0,auto
10189,7,21,0,0,0,0,0.0,auto
10189,8,11,0,0,0,0,0.0,auto
10189,9,14,0,0,0,0,0.0,auto
10189,10,12,0,0,0,0,0.0,auto
10189,11,9,0,0,0,0,0.0,auto
10189,12,11,0,0,0,0,0.0,auto
10189,13,6,0,0,0,0,0.0,auto
10189,14,9,0,0,0,0,0.0,auto
10189,15,10,0,0,0,0,0.0,auto
10189,16,23,0,0,0,0,0.0,auto
10189,17,2,0,0,0,0,0.0,auto
10189,18,35,0,0,0,0,0.0,auto
10189,19,34,0,0,0,0,0.0,auto
10189,20,34,0,0,0,0,0.0,auto
10189,21,35,0,0,0,0,0.0,auto
10189,22,33,0,0,0,0,0.0,auto
10189,23,14,0,0,0,0,0.0,auto
10189,24,8,0,0,0,0,0.0,auto
10189,25,32,0,0,0,0,0.0,auto
10189,26,11,0,0,0,0,0.0,auto
10189,27,2,0,0,0,0,0.0,auto
10189,28,27,0,0,0,0,0.0,auto
10189,29,30,0,0,0,0,0.0,auto
10189,30,27,0,0,0,0,0.0,auto
10189,31,29,0,0,0,0,0.0,auto
10189,32,25,0,0,0,0,0.0,auto
10189,33,28,0,0,0,0,0.0,auto
10189,34,26,0,0,0,0,0.0,auto
10189,35,11,0,0,0,0,0.0,auto
10189,36,2,0,0,0,0,0.0,auto
10189,37,17,0,0,0,0,0.0,auto
10189,38,15,0,0,0,0,0.0,auto
10189,39,13,0,0,0,0,0.0,auto
10189,40,20,0,0,0,0,0.0,auto
10189,41,17,0,0,0,0,0.0,auto
10189,42,17,0,0,0,0,0.0,auto
10189,43,17,0,0,0,0,0.0,auto
10189,44,22,0,0,0,0,0.0,auto
10189,45,15,0,0,0,0,0.0,auto
10189,46,17,0,0,0,0,0.0,auto
10189,47,2,0,0,0,0,0.0,auto
10189,48,2,0,0,0,0,0.0,auto
10189,49,2,0,0,0,0,0.0,auto
10189,50,2,0,0,0,0,0.0,auto
10189,51,2,0,0,0,0,0.0,auto
10189,52,4,0,0,0,0,0.0,auto
10189,53,2,0,0,0,0,0.0,auto
10189,54,2,0,0,0,0,0.0,auto
10189,55,4,0,0,0,0,0.0,auto
10189,56,4,0,0,0,0,0.0,auto
10189,57,2,0,0,0,0,0.0,auto
10189,58,2,0,0,0,0,0.0,auto
10189,59,2,0,0,0,0,0.0,auto
10189,60,2,0,0,0,0,0.0,auto
10189,61,2,0,0,0,0,0.0,auto
10189,62,2,0,0,0,0,0.0,auto
10189,63,2,0,0,0,0,0.0,auto
10189,64,2,0,0,0,0,0.0,auto
10189,65,2,0,0,0,0,0.0,auto
10189,66,2,0,0,0,0,0.0,auto
10189,67,2,0,0,0,0,0.0,auto
10189,68,2,0,0,0,0,0.0,auto
10189,69,2,0,0,0,0,0.0,auto
10189,70,6,0,0,0,0,0.0,auto
10189,71,12,0,0,0,0,0.0,auto
10189,72,4,0,0,0,0,0.0,auto
10189,73,5,0,0,0,0,0.0,auto
10189,74,5,0,0,0,0,0.0,auto
10189,75,7,0,0,0,0,0.0,auto
10189,76,5,0,0,0,0,0.0,auto
10189,77,5,0,0,0,0,0.0,auto
10189,78,4,0,0,0,0,0.0,auto
10189,79,5,0,0,0,0,0.0,auto
10189,80,4,0,0,0,0,0.0,auto
10189,81,6,0,0,0,0,0.0,auto
10189,82,5,0,0,0,0,0.0,auto
