DocID,PageNum,LineNum,NormedLineNum,Text,Words2Width,WordsWidth,Width,Height,Left,Top,ContainsNum,Centrality,Heading,WordCount
21838,1,2,0.071428571,GSC026716CA,1,0.118140288,0.118140288,0.011974654,0.354673535,0.093080126,0,0.82005594,0,1
21838,1,3,0.142857143,STOCKMAN CREEK,1,0.170257702,0.170257702,0.013200585,0.618922114,0.141039729,0,0.5743172,0,2
21838,1,4,0.214285714,AUTHORITY TO PROSPECT 5899M AND,1,0.374257833,0.374257833,0.015437712,0.523303092,0.1537406,0,0.56100531,0,5
21838,1,5,0.285714286,EINASLEIGH AUTHORITY,1,0.242770836,0.242770836,0.014130539,0.582993507,0.169109106,0,0.573633023,0,2
21838,1,6,0.357142857,TO PROSPECT 6050M,1,0.206325859,0.206325859,0.013365503,0.607771754,0.182796523,0,0.559956647,0,3
21838,1,7,0.428571429,"GEORGETOWN, QUEENSLAND",1,0.267721415,0.267721415,0.015910508,0.576050043,0.19598031,0,0.562092738,0,2
21838,1,8,0.5,FIRST SIX MONTHLY REPORT FOR,1,0.338470846,0.338470846,0.0155839,0.542253673,0.209030852,0,0.558800052,0,5
21838,1,9,0.571428571,A TO P 6050M AND SECOND IX-MONTHLY,1,0.421845406,0.421845406,0.016351566,0.499975115,0.223194748,0,0.560033554,0,7
21838,1,10,0.642857143,REPORT FOR A TO P 5899M FOR,1,0.324983537,0.324983537,0.014138458,0.549743056,0.237802178,0,0.557244341,0,7
21838,1,11,0.714285714,THE PERIOD ENDED 26 MAY 1990,1,0.33652553,0.33652553,0.015244141,0.543320537,0.251031369,0,0.558603525,0,6
21838,1,12,0.785714286,"C.R. 7005 	AUGUST 1990",0.559205229,0.239207715,0.42776373,0.012579598,0.498426616,0.26701504,0,0.557090682,0,4
21838,1,13,0.857142857,CONFIDENTIAL,1,0.239902452,0.239902452,0.027270624,0.458201736,0.44138968,0,0.836960862,0,1
21838,1,14,0.928571429,By R.J. Kennedy,1,0.205930382,0.205930382,0.015357851,0.503758848,0.64456135,0,0.777356961,0,3
21838,1,15,1,S.G. Walters,1,0.143768921,0.143768921,0.013135688,0.564005911,0.658314586,0,0.716511257,0,2
21838,2,1,0,CR # 2 1838 3,1,0.26645267,0.26645267,0.036555741,0.610044599,0.02729829,0,0.492497983,0,5
21838,2,2,0.052631579,STOCKMAN CREEK,1,0.219686463,0.219686463,0.01529937,0.400068939,0.247090831,0,0.979322226,0,2
21838,2,3,0.105263158,AUTHORITY TO PROSPECT 5899M AND,1,0.443979383,0.443979383,0.016541045,0.287369251,0.26595518,0,0.980476349,0,5
21838,2,4,0.157894737,EINASLEIGH AUTHORITY TO PROSPECT 6050M,1,0.533360243,0.533360243,0.016592119,0.243962735,0.284923702,0,0.977797897,0,5
21838,2,5,0.210526316,"GEORGETOWN, QUEENSLAND",1,0.347655326,0.347655326,0.017862208,0.33648333,0.323506802,0,0.978490218,0,2
21838,2,6,0.263157895,COMBINED FIRST SIX MONTHLY REPORT FOR,1,0.525071859,0.525071859,0.01724755,0.245418966,0.360854089,0,0.983405419,0,6
21838,2,7,0.315789474,A TO P 6050M AND SECOND SIX MONTHLY REPORT,1,0.593500853,0.593500853,0.017612383,0.214707553,0.379798591,0,0.976097417,0,9
21838,2,8,0.368421053,FOR A TO P 5899M FOR,1,0.271852434,0.271852434,0.015755789,0.37174505,0.399457008,0,0.983997115,0,6
21838,2,9,0.421052632,THE PERIOD ENDED 26 MAY 1990,1,0.384084344,0.384084344,0.016019851,0.318934619,0.418781102,0,0.977101254,0,6
21838,2,10,0.473684211,BY: R.J. Kennedy,1,0.203220904,0.203220904,0.016786909,0.388674736,0.47643888,0,0.979733948,0,3
21838,2,11,0.526315789,S.G. Walters,1,0.135108635,0.135108635,0.016990967,0.448001325,0.496034235,0,0.967549027,0,2
21838,2,12,0.578947368,CONFIDENTIAL,1,0.238496497,0.238496497,0.026502974,0.465162337,0.559997261,0,0.823906445,0,1
21838,2,13,0.631578947,"Distribution: 	1 	Department of Resource Industries",0.834495782,0.528095465,0.632831797,0.015565791,0.152668133,0.717421333,0,0.935504896,0,6
21838,2,14,0.684210526,"1 	M.J. Sheppard",0.763776734,0.161939513,0.212024674,0.012925116,0.333229393,0.735065639,1,0.873249012,0,3
21838,2,15,0.736842105,"1 	R.H Skrzeczynski",0.803612914,0.208151207,0.259019241,0.012599779,0.333862543,0.749330193,1,0.923589012,0,3
21838,2,16,0.789473684,"1 	S.G. Walters",0.73377189,0.146538476,0.199705765,0.010723853,0.333805829,0.763290703,1,0.86160193,0,3
21838,2,17,0.842105263,"1 	R.J. Kennedy",0.751003709,0.150948202,0.200995281,0.012620871,0.333994925,0.777147442,1,0.863341485,0,3
21838,2,18,0.894736842,"1 	Brisbane Library",0.800931919,0.19892965,0.248372734,0.012697794,0.334253728,0.790836692,1,0.913299917,0,3
21838,2,19,0.947368421,"1 	Hawthorn Library",0.797961269,0.198272951,0.248474404,0.012965646,0.33420828,0.805327863,1,0.913311155,0,3
21838,2,20,1,"1 	Field Copy",0.715696438,0.12657446,0.176854953,0.012578619,0.334637016,0.819714636,1,0.83950067,0,3
21838,4,1,0,LIST OF TABLES,1,0.184764653,0.184764653,0.015966441,0.403853536,0.060086638,0,0.99214802,0,3
21838,4,2,0.033333333,Page,1,0.05529236,0.05529236,0.0167457,0.791476846,0.097072661,0,0.334258211,0,1
21838,4,3,0.066666667,"1. 	Railway Flats",0.810657693,0.173819343,0.214417681,0.014595352,0.133215681,0.15957322,1,0.458484056,0,3
21838,4,4,0.1,"Flats Moving Loop SIROTEM Logistics 1990 	7",0.783228532,0.489925545,0.625520553,0.017630376,0.192426428,0.169487201,0,0.989180314,0,7
21838,4,5,0.133333333,"2. 	Coolaba Flats 	8",0.270554316,0.185497436,0.685619946,0.011947745,0.132995874,0.212855861,1,0.949527692,0,4
21838,4,6,0.166666667,Moving Loop SIROTEM Logistics 1990,1,0.408904254,0.408904254,0.018099489,0.192286044,0.22452347,0,0.784579693,0,5
21838,4,7,0.2,"3. 	Coolaba Flats 	10",0.286995831,0.196538629,0.684813533,0.012605226,0.134058103,0.268798272,1,0.950902521,0,4
21838,4,8,0.233333333,Fixed Loop SIROTEM Logistics 1990,1,0.395748705,0.395748705,0.017118087,0.193587422,0.280802041,0,0.773572273,0,5
21838,4,9,0.266666667,"4. 	Railway Flats 	12",0.286480019,0.196159951,0.684724722,0.013943498,0.134882361,0.325286388,1,0.952529419,0,4
21838,4,10,0.3,Fixed Loop SIROTEM Logistics 1990,1,0.396188736,0.396188736,0.017506614,0.193873703,0.336209297,0,0.77462849,0,5
21838,4,11,0.333333333,"5. 	Stockman Creek 	14",0.30619856,0.209967336,0.685722806,0.012388689,0.134983048,0.379538258,1,0.953780551,0,4
21838,4,12,0.366666667,Fixed Loop SIROTEM Logistics,1,0.336099416,0.336099416,0.017948562,0.194878116,0.392099231,0,0.714045823,0,4
21838,4,13,0.4,LIST OF FIGURES,1,0.198108017,0.198108017,0.016075827,0.401958913,0.447701007,0,0.997887503,0,3
21838,4,14,0.433333333,Following,1,0.103196353,0.103196353,0.018653054,0.764704347,0.478714079,0,0.340142238,0,1
21838,4,15,0.466666667,Page,1,0.055848841,0.055848841,0.016947286,0.796956599,0.49794814,0,0.322246103,0,1
21838,4,16,0.5,FIGURE 1: Tenement History A to P 5899M,1,0.470766366,0.470766366,0.017901622,0.136621073,0.532882333,0,0.732980731,0,8
21838,4,17,0.533333333,"Stockman Creek 	A4-1074 	1",0.464741359,0.262396505,0.564607603,0.012256789,0.258180141,0.547008395,0,0.915544548,0,4
21838,4,18,0.566666667,FIGURE 2: Grid and Moving Loop Coverage,1,0.469835967,0.469835967,0.019672105,0.137663186,0.588220358,0,0.734184266,0,7
21838,4,19,0.6,"Railway Flats prospect. Part 	5",0.634882835,0.358904792,0.565308703,0.01685435,0.258587956,0.603009909,0,0.913962476,0,5
21838,4,20,0.633333333,"of A to P 5899M, Stockman Creek",1,0.373561352,0.373561352,0.016397299,0.258985579,0.617274523,0,0.886860231,0,7
21838,4,21,0.666666667,"and A to P 6050M, Einasleigh A4-1220",1,0.443807632,0.443807632,0.018593671,0.259414345,0.630362511,0,0.961027274,0,7
21838,4,22,0.7,FIGURE 3: Interpretation of Surface SIROTEM,1,0.51924479,0.51924479,0.01829814,0.138448477,0.672505677,0,0.787359922,0,6
21838,4,23,0.733333333,"Coolaba Flat Prospect APM 5899, 	9",0.671681873,0.379994455,0.56573576,0.016779792,0.259237617,0.687010139,0,0.912161723,0,6
21838,4,24,0.766666667,"Georgetown, North Queensland A4-1193",1,0.444534212,0.444534212,0.016847987,0.259414434,0.700592637,0,0.961785343,0,4
21838,4,25,0.8,FIGURE 4: Interpretation of Surface SIROTEM,1,0.519435763,0.519435763,0.018490963,0.139405653,0.742175758,0,0.789555947,0,6
21838,4,26,0.833333333,"Railway Flats Prospect Part of 	11",0.718845438,0.406050168,0.56486436,0.017637815,0.26007551,0.756774366,0,0.911322685,0,6
21838,4,27,0.866666667,"A to P 5899M, Stockman Creek &",1,0.362031043,0.362031043,0.015544252,0.2596367,0.771143317,0,0.876191526,0,7
21838,4,28,0.9,"A to P 6050M, Einasleigh 	A4-1221",0.844858823,0.376398757,0.44551675,0.016765943,0.259768635,0.785425276,0,0.96354913,0,6
21838,4,29,0.933333333,FIGURE 5: Interpretation of Surface SIROTEM,1,0.519135058,0.519135058,0.018826991,0.141198441,0.827598989,0,0.792982335,0,6
21838,4,30,0.966666667,"Stockman Creek Prospect APM 5899, 	13",0.733313976,0.414273359,0.564933129,0.01700712,0.262138426,0.842022419,0,0.906947374,0,6
21838,4,31,1,"Georgetown, North Queensland A3-795",1,0.432630807,0.432630807,0.017489444,0.262106329,0.855455041,0,0.954984855,0,4
21838,5,2,0.076923077,"1. 	INTRODUCTION",0.434618691,0.196093144,0.451184332,0.015229119,0.135099202,0.122620206,1,0.709380213,1,2
21838,5,3,0.153846154,"Authorities to Prospect 5899M ""stockman Creek"" and 6050M",1,0.730499029,0.730499029,0.020165738,0.134252697,0.166877612,0,0.998962155,0,8
21838,5,4,0.230769231,"""Einasleigh"" are located immediately south and west of",1,0.725175321,0.725175321,0.021053521,0.137991741,0.187478721,0,0.998791895,0,8
21838,5,5,0.307692308,"Einasleigh, North Queensland (Figure 1) -",1,0.47167787,0.47167787,0.018720198,0.139171198,0.21049881,0,0.739251479,0,6
21838,5,6,0.384615385,The principal exploration target is massive exhalative-,1,0.724307656,0.724307656,0.021175237,0.136824012,0.249253467,0,0.99786823,0,7
21838,5,7,0.461538462,"related Pb-Zn-Ag (Cu) mineralisation of ""Broken Hill Type""",1,0.7236256,0.7236256,0.021154901,0.137430847,0.270549804,0,0.998422746,0,8
21838,5,8,0.538461538,affinities within the Lower-Middle Proterozoic Einasleigh,1,0.727917433,0.727917433,0.021136548,0.137339815,0.291038036,0,0.997291674,0,6
21838,5,9,0.615384615,Metamorphics.,1,0.156250536,0.156250536,0.014332187,0.136250928,0.319184542,0,0.404143024,0,1
21838,5,10,0.692307692,Following a request for joint reporting on these two,1,0.727924109,0.727924109,0.021574177,0.137628168,0.354292125,0,0.99668316,0,9
21838,5,11,0.769230769,"adjacent Authorities to Prospect, this report represents a",1,0.725147903,0.725147903,0.021080574,0.140959814,0.374744415,0,0.992628613,0,8
21838,5,12,0.846153846,combined first Six-Monthly Report for Authority to Prospect,1,0.726617336,0.726617336,0.021298178,0.139430478,0.396017581,0,0.994286318,0,8
21838,5,13,0.923076923,6050M and a second Six-Monthly Report for Authority to,1,0.725944102,0.725944102,0.020793745,0.141103834,0.417089194,1,0.991497665,0,9
21838,5,14,1,Prospect 5899M for the period ended 26 May 1990.,1,0.570023835,0.570023835,0.019804498,0.140669569,0.439252615,0,0.844960145,0,9
